OS Benchmark experiment
Test Name:,4.13.12-unmodified,
       ref          kbest:,0.000000021,
       ref        average:,0.000000036,
       cpu          kbest:,0.003149371,
       cpu        average:,0.003151894,
    getpid          kbest:,0.000000084,
    getpid        average:,0.000000085,
context siwtch          kbest:,0.000002734,
context siwtch        average:,0.000003471,
      send          kbest:,0.000000283,
      send        average:,0.000001075,
      recv          kbest:,0.000000692,
      recv        average:,0.000001316,
  big send          kbest:,0.000011585,
  big send        average:,0.000016897,
  big recv          kbest:,0.000018645,
  big recv        average:,0.000030017,
      fork          kbest:,0.000068288,
      fork       average:,0.000164571,
      fork    Child kbest:,0.000094279,
      fork Child average:,0.000224360,
thr create          kbest:,0.000008509,
thr create       average:,0.000013911,
thr create    Child kbest:,0.000010667,
thr create Child average:,0.000020551,
  big fork          kbest:,0.001605566,
  big fork       average:,0.003229614,
  big fork    Child kbest:,0.001644785,
  big fork Child average:,0.003334537,
 huge fork          kbest:,0.002950707,
 huge fork       average:,0.005499716,
 huge fork    Child kbest:,0.003016061,
 huge fork Child average:,0.005603265,
small write          kbest:,0.000000526,
small write        average:,0.000000619,
small read          kbest:,0.000000242,
small read        average:,0.000000434,
small mmap          kbest:,0.000000334,
small mmap        average:,0.000000346,
small munmap          kbest:,0.000000747,
small munmap        average:,0.000000776,
small page fault          kbest:,0.000000490,
small page fault        average:,0.000000501,
 mid write          kbest:,0.000005245,
 mid write        average:,0.000005389,
  mid read          kbest:,0.000002190,
  mid read        average:,0.000002795,
  mid mmap          kbest:,0.000000322,
  mid mmap        average:,0.000000349,
mid munmap          kbest:,0.000002741,
mid munmap        average:,0.000002849,
mid page fault          kbest:,0.000000961,
mid page fault        average:,0.000000995,
 big write          kbest:,0.000611047,
 big write        average:,0.000615142,
  big read          kbest:,0.000321588,
  big read        average:,0.000323176,
  big mmap          kbest:,0.000000344,
  big mmap        average:,0.000000371,
big munmap          kbest:,0.000112068,
big munmap        average:,0.000112823,
big page fault          kbest:,0.000001439,
big page fault        average:,0.000001478,
huge write          kbest:,0.013610932,
huge write        average:,0.013847964,
 huge read          kbest:,0.018833334,
 huge read        average:,0.019074153,
 huge mmap          kbest:,0.000000348,
 huge mmap        average:,0.000000384,
huge munmap          kbest:,0.001132455,
huge munmap        average:,0.001173274,
huge page fault          kbest:,0.000001425,
huge page fault        average:,0.000001470,
    select          kbest:,0.000000480,
    select        average:,0.000000532,
      poll          kbest:,0.000000362,
      poll        average:,0.000000576,
     epoll          kbest:,0.000000379,
     epoll        average:,0.000000440,
select big          kbest:,0.000064237,
select big        average:,0.000073111,
  poll big          kbest:,0.000063336,
  poll big        average:,0.000069485,
 epoll big          kbest:,0.000060458,
 epoll big        average:,0.000064772,
